timestep,dwellings,lad16nm,lad_uk_2016
2012,103590.0,Milton Keynes,E06000042
2013,104890.0,Milton Keynes,E06000042
2014,106130.0,Milton Keynes,E06000042
2015,107550.0,Milton Keynes,E06000042
2016,108740.0,Milton Keynes,E06000042
2017,110235.0,Milton Keynes,E06000042
2018,111730.0,Milton Keynes,E06000042
2019,113225.0,Milton Keynes,E06000042
2020,114720.0,Milton Keynes,E06000042
2021,116215.0,Milton Keynes,E06000042
2022,117710.0,Milton Keynes,E06000042
2023,119205.0,Milton Keynes,E06000042
2024,120700.0,Milton Keynes,E06000042
2025,122195.0,Milton Keynes,E06000042
2026,123690.0,Milton Keynes,E06000042
2027,125185.0,Milton Keynes,E06000042
2028,126680.0,Milton Keynes,E06000042
2029,128175.0,Milton Keynes,E06000042
2030,129670.0,Milton Keynes,E06000042
2031,131165.0,Milton Keynes,E06000042
2032,132660.0,Milton Keynes,E06000042
2033,134155.0,Milton Keynes,E06000042
2034,135650.0,Milton Keynes,E06000042
2035,137145.0,Milton Keynes,E06000042
2036,138640.0,Milton Keynes,E06000042
2037,140135.0,Milton Keynes,E06000042
2038,141630.0,Milton Keynes,E06000042
2039,143125.0,Milton Keynes,E06000042
2040,144620.0,Milton Keynes,E06000042
2041,146115.0,Milton Keynes,E06000042
2042,147610.0,Milton Keynes,E06000042
2043,149105.0,Milton Keynes,E06000042
2044,150600.0,Milton Keynes,E06000042
2045,152095.0,Milton Keynes,E06000042
2046,153590.0,Milton Keynes,E06000042
2047,155085.0,Milton Keynes,E06000042
2048,156580.0,Milton Keynes,E06000042
2049,158075.0,Milton Keynes,E06000042
2050,159570.0,Milton Keynes,E06000042
2004,85590.0,Northampton,E07000154
2005,86060.0,Northampton,E07000154
2006,87550.0,Northampton,E07000154
2007,89330.0,Northampton,E07000154
2008,90290.0,Northampton,E07000154
2009,90930.0,Northampton,E07000154
2010,91220.0,Northampton,E07000154
2011,91480.0,Northampton,E07000154
2012,91910.0,Northampton,E07000154
2013,92420.0,Northampton,E07000154
2014,93260.0,Northampton,E07000154
2015,94090.0,Northampton,E07000154
2016,94830.0,Northampton,E07000154
2017,95480.0,Northampton,E07000154
2018,96130.0,Northampton,E07000154
2019,96780.0,Northampton,E07000154
2020,97430.0,Northampton,E07000154
2021,98080.0,Northampton,E07000154
2022,98730.0,Northampton,E07000154
2023,99380.0,Northampton,E07000154
2024,100030.0,Northampton,E07000154
2025,100680.0,Northampton,E07000154
2026,101330.0,Northampton,E07000154
2027,101980.0,Northampton,E07000154
2028,102630.0,Northampton,E07000154
2029,103280.0,Northampton,E07000154
2030,103930.0,Northampton,E07000154
2031,104580.0,Northampton,E07000154
2032,105230.0,Northampton,E07000154
2033,105880.0,Northampton,E07000154
2034,106530.0,Northampton,E07000154
2035,107180.0,Northampton,E07000154
2036,107830.0,Northampton,E07000154
2037,108480.0,Northampton,E07000154
2038,109130.0,Northampton,E07000154
2039,109780.0,Northampton,E07000154
2040,110430.0,Northampton,E07000154
2041,111080.0,Northampton,E07000154
2042,111730.0,Northampton,E07000154
2043,112380.0,Northampton,E07000154
2044,113030.0,Northampton,E07000154
