GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E07000156,2026,-65.8697956759102,-458.240000873552,-6.76591656160957,-47.0688208349222
E07000177,2026,-98.5335058309718,-722.45664870059,-10.1210193858099,-74.2082369366742
E07000178,2026,-43.7714232801943,-83.459398296568,4419.11147968326,30956.6800380269
E07000179,2026,-94.97873789037,-684.971508364273,-9.75588597321618,-70.3578935552615
E07000180,2026,-108.129596331078,-882.98838750819,-11.10669646246,-90.6974994145225
E07000181,2026,-53.9398632015704,-433.36515239135,-5.54051534579042,-44.5137628210591
E07000242,2026,-163.908729591613,-1237.3222915047,-16.8361352385652,-127.093446977276
E07000243,2026,-72.9857914828599,-500.296959860233,-7.49684692792605,-51.3887655443147
E07000004,2026,8488.21941432627,59425.356932387,2641.3234190583,18490.0672826533
E06000056,2026,4482.20412714567,31383.2499221227,1345.11794114269,9416.628937244
E07000012,2026,4482.20412714567,31383.2499221227,1345.11794114269,9416.628937244
E07000011,2026,4482.20412714567,31383.2499221227,1345.11794114269,9416.628937244
E06000030,2027,-171.164259794714,-1368.52829298974,-17.5813980932725,-140.570471603221
E06000032,2027,-174.37251731819,-1346.41467516924,-17.9109391596939,-138.299037609636
E06000042,2027,-314.927840139775,-2594.51418999783,4391.2592346172,35122.3607421432
E06000055,2027,-223.273380039309,-1832.40755064425,-22.933865883039,-188.218537302317
E07000008,2027,-40.776343306397,3.18138423236653,4419.41912389242,35389.1870064021
E07000009,2027,-78.0651018999757,-652.888157938415,-8.0185760470174,-67.062403266112
E07000099,2027,-134.620459838394,-1067.22676182573,-13.8277459252116,-109.621825128424
E07000151,2027,-72.2599542258109,-637.858236296134,-7.42229144664502,-65.5185819331972
E07000154,2027,-223.40076977506,-1787.46688080367,-22.9469509141075,-183.602387832836
E07000155,2027,-97.4970753439625,-778.240691504696,-10.0145608470357,-79.938180004038
E07000156,2027,-65.641889495524,-523.881890369076,-6.74250683057055,-53.8113276654927
E07000177,2027,-100.910241712165,-823.366890412756,-10.3651494380763,-84.5733863747505
E07000178,2027,-51.07604891898,-134.535447215548,4418.36117391597,35375.0412119428
E07000179,2027,-94.3867502948242,-779.358258659096,-9.69507906413334,-80.0529726193948
E07000180,2027,-114.071694431098,-997.060081939288,-11.7170481347719,-102.414547549295
E07000181,2027,-57.2669833588147,-490.632135750165,-5.88226556899017,-50.3960283900492
E07000242,2027,-169.42033823979,-1406.74262974449,-17.4022685300253,-144.495715507302
E07000243,2027,-75.467178161169,-575.764138021401,-7.75172634648586,-59.1404918908005
E07000004,2027,8499.16117195895,67924.518104346,2642.44731838758,21132.5146010408
