,,GEOGRAPHY_CODE,HOUSEHOLD_TYPE,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,W06000002,4 person (No children) ,1294.13147,1308.540771,1328.073364,1342.823242,1353.825439,1362.801514,1369.458862,1371.879272,1371.292114,1371.076904,1371.82019,1377.950195,1382.944824,1387.314209,1392.418823,1396.049316,1398.473267,1400.733032,1399.42688,1396.01355,1393.567871,1392.782593,1392.54419,1393.979736,1398.032471,1404.701904
,,W06000002,"4 person (2+ adults, 1+ children) ",4236.005859,4204.535156,4161.923828,4128.685547,4099.151367,4072.7854,4053.800049,4035.959961,4025.358643,4015.367676,4007.079102,3994.82959,3986.199707,3982.078613,3978.174561,3980.552002,3986.744141,3993.66748,4009.124512,4028.389893,4049.40918,4068.142822,4087.84082,4107.240234,4126.136719,4144.288574
,,W06000002,"4 person (1 adult, 3 children) ",334.09671,337.244324,338.764435,341.64447,344.683899,347.546082,351.087402,355.163269,358.558044,363.269226,368.866791,374.140381,379.518036,385.214081,390.840607,396.488892,402.482117,408.329041,414.372009,420.644287,427.098633,433.320343,439.522308,445.703186,451.662476,457.200043
,,W06000002,5+ person (No children) ,677.819641,705.818542,738.540527,769.385925,796.601013,822.019409,845.616028,865.623535,880.077698,895.689209,913.62323,938.651489,964.2948,990.175171,1017.331726,1043.059204,1065.16687,1086.373779,1100.396606,1110.967163,1120.178223,1129.626587,1139.426636,1149.441895,1163.958618,1181.307251
,,W06000002,"5+ person (2+ adults, 1+ children) ",2946.063477,2940.281494,2925.014893,2917.9729,2912.697266,2907.979248,2906.47583,2906.227051,2908.020752,2911.520996,2917.813721,2921.902344,2927.886719,2936.515869,2944.89209,2954.988281,2966.874023,2978.074951,2994.373291,3012.360352,3032.015625,3050.322022,3068.330811,3085.087647,3101.392578,3116.862061
,,W06000002,"5+ person (1 adult, 4+ children) ",115.702278,117.16346,117.893524,119.245026,120.418922,121.457794,122.8022,124.127899,125.207771,126.617119,128.322754,129.527634,130.713562,132.045898,133.250473,134.692459,136.559189,138.441406,140.542862,142.701721,144.8927,146.977173,149.004074,151.003159,152.788345,154.430038
,Conwy ,W06000003,All,51951.475342,52094.441452,52257.995934,52411.110817,52569.679565,52742.576309,52900.225266,53050.111595,53215.901299,53364.867378,53507.864624,53646.159317,53766.275169,53867.953995,53961.373909,54050.945724,54121.363861,54196.300392,54243.932656,54281.821702,54314.405419,54330.891258,54342.522392,54342.785332,54320.709007,54285.451622
,,W06000003,1 person ,17754.828125,17861.074219,17972.492188,18087.517578,18206.466797,18332.568359,18449.449219,18556.777344,18705.425781,18830.458984,18947.011719,19060.078125,19150.804688,19240.025391,19339.361328,19441.515625,19525.820313,19618.396484,19729.373047,19832.664063,19928.695313,20000.396484,20065.78125,20115.320313,20158.740234,20197.238281
,,W06000003,2 person (No children) ,17470.232422,17534.824219,17616.537109,17675.808594,17739.808594,17818.232422,17874.990234,17929.111328,17958.158203,17998.130859,18045.294922,18094.517578,18147.630859,18180.140625,18195.871094,18212.767578,18226.058594,18246.294922,18216.210938,18170.28125,18125.806641,18088.423828,18054.146484,18021.082031,17966.421875,17904.974609
,,W06000003,"2 person (1 adult, 1 child) ",1556.679077,1565.671509,1574.170898,1584.655884,1595.376099,1605.68689,1621.046387,1636.693115,1654.482788,1669.341431,1684.483521,1697.074341,1709.902344,1721.895996,1733.155151,1741.692383,1748.729004,1753.95874,1761.134644,1772.914185,1784.366821,1795.773071,1807.813477,1819.663086,1830.272217,1840.588501
,,W06000003,3 person (No children) ,3107.45874,3123.011719,3141.406494,3151.884521,3156.622314,3159.259521,3160.776611,3160.481689,3155.840088,3149.144287,3139.223389,3132.578857,3128.327148,3124.722656,3116.881104,3108.706787,3103.01001,3096.385742,3087.806641,3080.007813,3075.209961,3075.055664,3073.730713,3075.653565,3080.706787,3084.872803
,,W06000003,"3 person (2 adults, 1 child) ",2878.39917,2846.199951,2816.00293,2786.824951,2757.650146,2729.101563,2705.4646,2682.73584,2661.483154,2638.135498,2615.05542,2590.305908,2564.710938,2540.41333,2517.85376,2495.402832,2474.007324,2452.021484,2432.219971,2417.358643,2402.452393,2387.410156,2373.439697,2360.082275,2346.302002,2331.161133
,,W06000003,"3 person (1 adult, 2 children) ",888.455505,888.989563,888.673157,891.997742,897.314026,901.779114,907.359863,914.47113,920.690125,925.024475,928.850403,930.215393,930.919434,931.507629,932.176514,932.362488,933.028381,933.460754,934.665588,937.338318,939.695984,941.392273,942.884949,944.004822,944.701477,944.942688
,,W06000003,4 person (No children) ,994.037415,1003.896301,1014.649597,1021.730896,1025.338379,1026.913818,1027.005005,1025.531738,1024.151123,1023.148621,1020.681213,1020.940735,1022.246826,1024.980713,1028.837891,1033.589478,1039.244019,1044.160034,1048.540772,1052.671875,1056.636597,1062.052612,1067.649414,1074.265137,1083.09021,1091.985596
,,W06000003,"4 person (2+ adults, 1+ children) ",4222.412109,4203.34668,4180.700195,4166.757324,4155.808105,4144.536621,4138.962402,4136.746582,4135.378418,4135.840332,4136.686523,4135.36084,4131.727539,4129.774902,4129.20459,4124.736816,4119.834961,4111.876465,4105.22168,4100.473145,4095.236084,4086.609375,4076.008789,4064.787842,4053.736572,4042.323975
,,W06000003,"4 person (1 adult, 3 children) ",311.300812,310.478516,309.312347,309.047638,309.237854,308.880371,309.268188,310.186096,311.351715,312.033264,312.7229,312.816772,313.087799,313.224213,313.171021,312.605804,311.789917,310.469849,309.402924,309.0849,308.778503,308.263886,307.771393,307.131744,306.312775,305.531158
